id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate
4,I have eggs salad tuna what can I make with it?
5,a meal I can prep in 10 minutes
6,a recipe for a festive but healthy dinner
7,I am alone today what is a simple dinner recipe
8,what shall I cook today give me a low-prep surprise recipe
9,a recipe that I can cook today and eat today and tomorrow
10,italian cuisine recipe
11,a light night dish recipe
12,A salad recipe for a BBQ
13,feeling ill give me a recipe for a soup
